,S BET(m2/g),Vtotal (cm3/g),Vmicro (cm3/g),T(oC),P(bar),CO2uptake (mmol/g)
691,1477.0,4.736000000000001,0.013999999999999999,25.0,0.6,0.95
692,1477.0,4.736000000000001,0.013999999999999999,25.0,0.5,0.8
693,1477.0,4.736000000000001,0.013999999999999999,25.0,0.4,0.7
694,1477.0,4.736000000000001,0.013999999999999999,25.0,0.3,0.555
695,1477.0,4.736000000000001,0.013999999999999999,25.0,0.2,0.4
696,1477.0,4.736000000000001,0.013999999999999999,25.0,0.1,0.2
697,2560.0,4.059,0.251,25.0,1.0,2.5
698,2560.0,4.059,0.251,25.0,0.9,2.25
699,2560.0,4.059,0.251,25.0,0.8,2.1
700,2560.0,4.059,0.251,25.0,0.7,1.8
701,2560.0,4.059,0.251,25.0,0.6,1.6
702,2560.0,4.059,0.251,25.0,0.5,1.4
703,2560.0,4.059,0.251,25.0,0.4,1.15
704,2560.0,4.059,0.251,25.0,0.3,0.9
705,2560.0,4.059,0.251,25.0,0.2,0.6
706,2560.0,4.059,0.251,25.0,0.1,0.35
707,1948.0,0.9309999999999999,0.209,25.0,1.0,2.6
708,1948.0,0.9309999999999999,0.209,25.0,0.9,2.45
709,1948.0,0.9309999999999999,0.209,25.0,0.8,2.2
710,1948.0,0.9309999999999999,0.209,25.0,0.7,2.0
711,1948.0,0.9309999999999999,0.209,25.0,0.6,1.75
712,1948.0,0.9309999999999999,0.209,25.0,0.5,1.6
713,1948.0,0.9309999999999999,0.209,25.0,0.4,1.3
714,1948.0,0.9309999999999999,0.209,25.0,0.3,1.1
715,1948.0,0.9309999999999999,0.209,25.0,0.2,0.75
716,1948.0,0.9309999999999999,0.209,25.0,0.1,0.5
717,1477.0,4.736000000000001,0.013999999999999999,25.0,1.0,1.6
718,1477.0,4.736000000000001,0.013999999999999999,25.0,0.9,1.4
719,1477.0,4.736000000000001,0.013999999999999999,25.0,0.8,1.3
720,1477.0,4.736000000000001,0.013999999999999999,25.0,0.7,1.15
721,1477.0,4.736000000000001,0.013999999999999999,25.0,0.6,0.95
722,1477.0,4.736000000000001,0.013999999999999999,25.0,0.5,0.8
723,1477.0,4.736000000000001,0.013999999999999999,25.0,0.4,0.7
724,1477.0,4.736000000000001,0.013999999999999999,25.0,0.3,0.555
725,1477.0,4.736000000000001,0.013999999999999999,25.0,0.2,0.4
726,1477.0,4.736000000000001,0.013999999999999999,25.0,0.1,0.2
727,1260.0,2.271,0.139,25.0,20.0,10.0
728,1260.0,2.271,0.139,25.0,10.0,7.0
729,1260.0,2.271,0.139,25.0,6.0,5.0
730,1260.0,2.271,0.139,25.0,4.0,4.2
731,1260.0,2.271,0.139,25.0,2.0,2.2
732,1260.0,2.271,0.139,50.0,29.0,9.0
733,1260.0,2.271,0.139,50.0,15.0,7.0
734,1260.0,2.271,0.139,50.0,10.0,5.2
735,1260.0,2.271,0.139,50.0,6.0,3.8
736,1260.0,2.271,0.139,50.0,4.0,2.8
737,1260.0,2.271,0.139,50.0,2.0,1.6
738,1828.0,0.455,0.495,25.0,20.0,14.2
739,1828.0,0.455,0.495,25.0,10.0,10.5
740,1828.0,0.455,0.495,25.0,6.0,8.5
741,1828.0,0.455,0.495,25.0,4.0,6.5
742,1828.0,0.455,0.495,25.0,2.0,4.0
743,1900.0,0.45299999999999996,0.547,25.0,20.0,15.5
744,1900.0,0.45299999999999996,0.547,25.0,10.0,11.2
745,1900.0,0.45299999999999996,0.547,25.0,6.0,9.0
746,1900.0,0.45299999999999996,0.547,25.0,4.0,6.6
747,1900.0,0.45299999999999996,0.547,25.0,2.0,4.05
748,1900.0,0.45299999999999996,0.547,50.0,20.0,11.0
749,1900.0,0.45299999999999996,0.547,50.0,10.0,8.0
750,1900.0,0.45299999999999996,0.547,50.0,6.0,6.75
751,1900.0,0.45299999999999996,0.547,50.0,4.0,5.5
752,1900.0,0.45299999999999996,0.547,50.0,2.0,3.75
753,2517.0,4.919,0.611,50.0,20.0,14.7
754,2517.0,4.919,0.611,50.0,12.0,10.5
755,2517.0,4.919,0.611,50.0,10.0,8.9
756,2517.0,4.919,0.611,50.0,6.0,6.0
757,2517.0,4.919,0.611,50.0,4.0,5.0
758,2517.0,4.919,0.611,50.0,2.0,3.0
759,2517.0,4.919,0.611,25.0,20.0,19.5
760,2517.0,4.919,0.611,25.0,16.0,17.0
761,2517.0,4.919,0.611,25.0,12.0,14.6
762,2517.0,4.919,0.611,25.0,10.0,13.2
763,2517.0,4.919,0.611,25.0,8.0,11.8
764,2517.0,4.919,0.611,25.0,6.0,10.2
765,2517.0,4.919,0.611,25.0,4.0,8.1
766,2517.0,4.919,0.611,25.0,2.0,4.9
767,2495.0,4.834,0.5760000000000001,25.0,20.0,19.2
768,2495.0,4.834,0.5760000000000001,25.0,18.0,18.0
769,2495.0,4.834,0.5760000000000001,25.0,16.0,16.8
770,2495.0,4.834,0.5760000000000001,25.0,12.0,14.2
771,2495.0,4.834,0.5760000000000001,25.0,10.0,13.0
772,2495.0,4.834,0.5760000000000001,25.0,8.0,11.6
773,2495.0,4.834,0.5760000000000001,25.0,6.0,10.2
774,2495.0,4.834,0.5760000000000001,25.0,4.0,8.1
775,2495.0,4.834,0.5760000000000001,25.0,2.0,4.9
776,2462.0,3.2689999999999997,0.521,50.0,20.0,14.25
777,2462.0,3.2689999999999997,0.521,50.0,12.0,10.5
778,2462.0,3.2689999999999997,0.521,50.0,10.0,8.9
779,2462.0,3.2689999999999997,0.521,50.0,6.0,6.0
780,637.0,0.09699999999999999,0.25,0.0,30.0,8.0
781,637.0,0.09699999999999999,0.25,0.0,29.0,7.5
782,637.0,0.09699999999999999,0.25,0.0,28.0,7.4
783,637.0,0.09699999999999999,0.25,0.0,27.0,7.2
784,637.0,0.09699999999999999,0.25,0.0,26.0,7.0
785,637.0,0.09699999999999999,0.25,0.0,25.0,6.8
786,637.0,0.09699999999999999,0.25,0.0,24.0,6.63
787,637.0,0.09699999999999999,0.25,0.0,23.0,6.5
788,637.0,0.09699999999999999,0.25,0.0,22.0,6.4
789,637.0,0.09699999999999999,0.25,0.0,21.0,6.3
790,637.0,0.09699999999999999,0.25,0.0,20.0,6.2
791,637.0,0.09699999999999999,0.25,0.0,19.0,6.17
792,637.0,0.09699999999999999,0.25,0.0,18.0,6.14
793,637.0,0.09699999999999999,0.25,0.0,17.0,6.1
794,637.0,0.09699999999999999,0.25,0.0,16.0,6.05
795,637.0,0.09699999999999999,0.25,0.0,15.0,6.0
796,637.0,0.09699999999999999,0.25,0.0,14.0,5.96
797,637.0,0.09699999999999999,0.25,0.0,13.0,5.94
798,637.0,0.09699999999999999,0.25,0.0,12.0,5.9
799,637.0,0.09699999999999999,0.25,0.0,11.0,5.85
800,637.0,0.09699999999999999,0.25,0.0,10.0,5.8
801,637.0,0.09699999999999999,0.25,0.0,9.0,5.78
802,637.0,0.09699999999999999,0.25,0.0,8.0,5.76
803,637.0,0.09699999999999999,0.25,0.0,7.0,5.74
804,637.0,0.09699999999999999,0.25,0.0,6.0,5.72
805,637.0,0.09699999999999999,0.25,0.0,5.0,5.7
806,637.0,0.09699999999999999,0.25,0.0,4.0,5.2
807,637.0,0.09699999999999999,0.25,0.0,3.0,5.0
808,637.0,0.09699999999999999,0.25,0.0,2.0,4.5
809,1122.0,0.092,0.5,0.0,30.0,15.5
810,1122.0,0.092,0.5,0.0,29.0,15.1
811,1122.0,0.092,0.5,0.0,28.0,14.6
812,1122.0,0.092,0.5,0.0,27.0,14.2
813,1122.0,0.092,0.5,0.0,26.0,13.7
814,1122.0,0.092,0.5,0.0,25.0,13.2
815,1122.0,0.092,0.5,0.0,24.0,13.0
816,1122.0,0.092,0.5,0.0,23.0,12.8
817,1122.0,0.092,0.5,0.0,22.0,12.6
818,1122.0,0.092,0.5,0.0,21.0,12.4
819,1122.0,0.092,0.5,0.0,20.0,12.2
820,1122.0,0.092,0.5,0.0,19.0,12.18
821,1122.0,0.092,0.5,0.0,18.0,12.16
822,1122.0,0.092,0.5,0.0,17.0,12.14
823,1122.0,0.092,0.5,0.0,16.0,12.12
824,1122.0,0.092,0.5,0.0,15.0,12.0
825,1122.0,0.092,0.5,0.0,14.0,11.9
826,1122.0,0.092,0.5,0.0,13.0,11.7
827,1122.0,0.092,0.5,0.0,12.0,11.5
828,1122.0,0.092,0.5,0.0,11.0,11.3
829,1122.0,0.092,0.5,0.0,10.0,11.2
830,1122.0,0.092,0.5,0.0,9.0,11.0
831,1122.0,0.092,0.5,0.0,8.0,10.8
832,1122.0,0.092,0.5,0.0,7.0,10.6
833,1122.0,0.092,0.5,0.0,6.0,10.4
834,1122.0,0.092,0.5,0.0,5.0,10.2
835,1122.0,0.092,0.5,0.0,4.0,9.8
836,1122.0,0.092,0.5,0.0,3.0,9.2
837,1122.0,0.092,0.5,0.0,2.0,8.5
838,849.0,0.192,0.31,0.0,30.0,10.3
839,849.0,0.192,0.31,0.0,29.0,10.0
840,849.0,0.192,0.31,0.0,28.0,9.7
841,849.0,0.192,0.31,0.0,27.0,9.4
842,849.0,0.192,0.31,0.0,26.0,9.2
843,849.0,0.192,0.31,0.0,25.0,9.0
844,849.0,0.192,0.31,0.0,24.0,8.9
845,849.0,0.192,0.31,0.0,23.0,8.8
846,849.0,0.192,0.31,0.0,22.0,8.7
847,849.0,0.192,0.31,0.0,21.0,8.6
848,849.0,0.192,0.31,0.0,20.0,8.5
849,849.0,0.192,0.31,0.0,19.0,8.4
850,849.0,0.192,0.31,0.0,18.0,8.3
851,849.0,0.192,0.31,0.0,17.0,8.2
852,849.0,0.192,0.31,0.0,16.0,8.1
853,849.0,0.192,0.31,0.0,15.0,8.0
854,849.0,0.192,0.31,0.0,14.0,7.9
855,849.0,0.192,0.31,0.0,13.0,7.7
856,849.0,0.192,0.31,0.0,12.0,7.5
857,849.0,0.192,0.31,0.0,11.0,7.4
858,849.0,0.192,0.31,0.0,10.0,7.2
859,849.0,0.192,0.31,0.0,9.0,7.1
860,849.0,0.192,0.31,0.0,8.0,7.0
861,849.0,0.192,0.31,0.0,7.0,6.9
862,849.0,0.192,0.31,0.0,6.0,6.7
863,849.0,0.192,0.31,0.0,5.0,6.5
864,849.0,0.192,0.31,0.0,4.0,6.2
865,849.0,0.192,0.31,0.0,3.0,5.8
866,849.0,0.192,0.31,0.0,2.0,5.0
867,1330.0,0.02,0.51,25.0,0.6,3.1
868,1330.0,0.02,0.51,25.0,0.7,3.42
869,1330.0,0.02,0.51,25.0,0.8,3.65
870,1330.0,0.02,0.51,25.0,0.9,4.0
871,1330.0,0.02,0.51,25.0,1.0,4.2
872,1690.0,0.05,0.67,25.0,0.1,0.8
873,1690.0,0.05,0.67,25.0,0.15,1.1
874,1690.0,0.05,0.67,25.0,0.2,1.4
875,1690.0,0.05,0.67,25.0,0.3,1.8
876,1690.0,0.05,0.67,25.0,0.4,2.25
877,1690.0,0.05,0.67,25.0,0.5,2.7
878,1690.0,0.05,0.67,25.0,0.6,3.1
879,1690.0,0.05,0.67,25.0,0.7,3.42
880,1690.0,0.05,0.67,25.0,0.8,3.75
881,1690.0,0.05,0.67,25.0,0.9,4.15
882,1690.0,0.05,0.67,25.0,1.0,4.5
883,1690.0,0.05,0.67,25.0,5.0,8.0
884,1690.0,0.05,0.67,25.0,10.0,11.0
885,1690.0,0.05,0.67,25.0,15.0,12.0
886,1690.0,0.05,0.67,25.0,20.0,12.5
887,1690.0,0.05,0.67,25.0,25.0,13.7
888,1690.0,0.05,0.67,25.0,30.0,14.3
889,1690.0,0.05,0.67,25.0,35.0,14.7
890,1690.0,0.05,0.67,25.0,40.0,15.0
891,1690.0,0.05,0.67,25.0,45.0,15.2
892,1690.0,0.05,0.67,25.0,50.0,15.4
893,670.0,0.26,0.2,0.0,0.1,1.175
894,670.0,0.26,0.2,0.0,0.2,1.68
895,670.0,0.26,0.2,0.0,0.4,2.3
896,670.0,0.26,0.2,0.0,0.5,2.65
897,670.0,0.26,0.2,0.0,0.7,2.85
898,670.0,0.26,0.2,0.0,0.8,3.2
899,670.0,0.26,0.2,0.0,1.0,3.3
900,670.0,0.26,0.2,25.0,0.1,0.68
901,670.0,0.26,0.2,25.0,0.2,1.05
902,670.0,0.26,0.2,25.0,0.4,1.7
903,670.0,0.26,0.2,25.0,0.5,2.0
904,670.0,0.26,0.2,25.0,0.7,2.125
905,670.0,0.26,0.2,25.0,0.8,2.375
906,670.0,0.26,0.2,25.0,1.0,2.55
907,1281.0,0.12,0.45,25.0,0.15,1.3
908,1281.0,0.12,0.45,25.0,1.0,4.5
909,1281.0,0.12,0.45,25.0,20.0,10.3
910,1281.0,0.12,0.45,25.0,5.0,7.8
911,1281.0,0.12,0.45,25.0,10.0,9.2
912,1281.0,0.12,0.45,25.0,15.0,9.9
913,1281.0,0.12,0.45,25.0,0.2,1.5
914,1281.0,0.12,0.45,25.0,0.4,2.5
915,1281.0,0.12,0.45,25.0,0.6,3.3
916,1281.0,0.12,0.45,25.0,0.8,3.9
917,1281.0,0.12,0.45,0.0,5.0,9.8
918,1281.0,0.12,0.45,0.0,10.0,10.2
919,1281.0,0.12,0.45,0.0,15.0,10.4
920,1281.0,0.12,0.45,0.0,20.0,10.6
921,1281.0,0.12,0.45,0.0,0.2,2.8
922,1281.0,0.12,0.45,0.0,0.4,4.1
923,1281.0,0.12,0.45,0.0,0.6,5.0
924,1281.0,0.12,0.45,0.0,0.8,6.0
925,1281.0,0.12,0.45,0.0,1.0,6.3
926,1202.0,0.16,0.49,25.0,0.15,1.3
927,1202.0,0.16,0.49,25.0,1.0,4.4
928,1202.0,0.16,0.49,25.0,20.0,9.7
929,1202.0,0.16,0.49,25.0,5.0,7.5
930,1202.0,0.16,0.49,25.0,10.0,8.7
931,1202.0,0.16,0.49,25.0,15.0,9.1
932,1202.0,0.16,0.49,25.0,0.2,1.6
933,1202.0,0.16,0.49,25.0,0.4,2.5
934,1202.0,0.16,0.49,25.0,0.6,3.3
935,1202.0,0.16,0.49,25.0,0.8,3.8
936,1202.0,0.16,0.49,0.0,5.0,8.5
937,1202.0,0.16,0.49,0.0,10.0,9.8
938,1202.0,0.16,0.49,0.0,15.0,10.4
939,1202.0,0.16,0.49,0.0,20.0,10.4
940,1202.0,0.16,0.49,0.0,0.2,2.8
941,1202.0,0.16,0.49,0.0,0.4,4.0
942,1202.0,0.16,0.49,0.0,0.6,4.8
943,1202.0,0.16,0.49,0.0,0.8,5.7
944,1202.0,0.16,0.49,0.0,1.0,6.0
945,1575.0,0.1,0.7,25.0,0.15,1.3
946,1575.0,0.1,0.7,25.0,1.0,4.6
947,1575.0,0.1,0.7,25.0,20.0,12.3
948,1575.0,0.1,0.7,25.0,5.0,8.9
949,1575.0,0.1,0.7,25.0,10.0,11.0
950,1575.0,0.1,0.7,25.0,15.0,11.5
951,1575.0,0.1,0.7,25.0,0.2,1.48
952,1575.0,0.1,0.7,25.0,0.4,2.4
953,1575.0,0.1,0.7,25.0,0.6,3.2
954,1575.0,0.1,0.7,25.0,0.8,4.0
955,1575.0,0.1,0.7,0.0,5.0,11.8
956,1575.0,0.1,0.7,0.0,10.0,12.5
957,1575.0,0.1,0.7,0.0,15.0,12.8
958,1575.0,0.1,0.7,0.0,20.0,13.0
959,1575.0,0.1,0.7,0.0,0.2,2.6
960,1575.0,0.1,0.7,0.0,0.4,4.1
961,1575.0,0.1,0.7,0.0,0.6,5.5
962,1575.0,0.1,0.7,0.0,0.8,6.2
963,1575.0,0.1,0.7,0.0,1.0,7.15
964,1557.0,0.22,0.53,25.0,0.15,1.3
965,1557.0,0.22,0.53,25.0,1.0,4.6
966,1557.0,0.22,0.53,25.0,20.0,12.1
967,1557.0,0.22,0.53,25.0,5.0,9.1
968,1557.0,0.22,0.53,25.0,10.0,11.0
969,1557.0,0.22,0.53,25.0,15.0,11.5
970,1557.0,0.22,0.53,25.0,0.2,1.5
971,1557.0,0.22,0.53,25.0,0.4,2.5
972,1557.0,0.22,0.53,25.0,0.6,3.3
973,1557.0,0.22,0.53,25.0,0.8,4.02
974,1557.0,0.22,0.53,0.0,5.0,11.8
975,1557.0,0.22,0.53,0.0,10.0,12.5
976,1557.0,0.22,0.53,0.0,15.0,12.7
977,1557.0,0.22,0.53,0.0,20.0,12.9
978,1557.0,0.22,0.53,0.0,0.2,3.0
979,1557.0,0.22,0.53,0.0,0.4,4.5
980,1557.0,0.22,0.53,0.0,0.6,5.6
981,1557.0,0.22,0.53,0.0,0.8,6.3
982,1557.0,0.22,0.53,0.0,1.0,7.15
983,2274.0,0.3,0.9,25.0,0.15,0.8
984,2274.0,0.3,0.9,25.0,1.0,3.6
985,2274.0,0.3,0.9,25.0,20.0,17.5
986,2274.0,0.3,0.9,25.0,5.0,9.8
987,2274.0,0.3,0.9,25.0,10.0,13.5
988,2274.0,0.3,0.9,25.0,15.0,15.1
989,2274.0,0.3,0.9,25.0,0.2,1.0
990,2274.0,0.3,0.9,25.0,0.4,1.75
991,2274.0,0.3,0.9,25.0,0.6,2.5
992,2274.0,0.3,0.9,25.0,0.8,3.0
993,2274.0,0.3,0.9,0.0,5.0,13.5
994,2274.0,0.3,0.9,0.0,10.0,18.0
995,2274.0,0.3,0.9,0.0,15.0,20.5
996,2274.0,0.3,0.9,0.0,20.0,22.0
997,2274.0,0.3,0.9,0.0,0.2,1.9
998,2274.0,0.3,0.9,0.0,0.4,3.0
999,2274.0,0.3,0.9,0.0,0.6,5.1
1000,2274.0,0.3,0.9,0.0,0.8,5.0
1001,2377.0,0.7,0.7,25.0,0.15,0.8
1002,2377.0,0.7,0.7,25.0,1.0,3.6
1003,2377.0,0.7,0.7,25.0,20.0,18.1
1004,2377.0,0.7,0.7,25.0,5.0,9.82
1005,2377.0,0.7,0.7,25.0,10.0,13.6
1006,2377.0,0.7,0.7,25.0,15.0,16.0
1007,2377.0,0.7,0.7,25.0,0.2,1.0
1008,2377.0,0.7,0.7,25.0,0.4,1.75
1009,2377.0,0.7,0.7,25.0,0.6,2.5
1010,2377.0,0.7,0.7,25.0,0.8,3.0
1011,2377.0,0.7,0.7,0.0,5.0,14.0
1012,2377.0,0.7,0.7,0.0,10.0,19.0
1013,2377.0,0.7,0.7,0.0,15.0,22.0
1014,2377.0,0.7,0.7,0.0,20.0,24.0
1015,2377.0,0.7,0.7,0.0,0.2,2.0
1016,2377.0,0.7,0.7,0.0,0.4,3.2
1017,2377.0,0.7,0.7,0.0,0.6,4.2
1018,2377.0,0.7,0.7,0.0,0.8,5.2
1019,2980.0,1.8,0.3,25.0,0.15,0.5
1020,2980.0,1.8,0.3,25.0,1.0,2.7
1021,2980.0,1.8,0.3,25.0,20.0,21.8
1022,2783.0,1.44,0.36,25.0,0.15,0.6
1023,2783.0,1.44,0.36,25.0,1.0,3.0
1024,2783.0,1.44,0.36,25.0,20.0,21.7
1025,1511.0,0.11,0.54,25.0,0.15,1.2
1026,1511.0,0.11,0.54,25.0,1.0,4.3
1027,1511.0,0.11,0.54,25.0,20.0,12.0
1028,1511.0,0.11,0.54,25.0,5.0,8.75
1029,1511.0,0.11,0.54,25.0,10.0,10.5
1030,1511.0,0.11,0.54,25.0,15.0,11.0
1031,1830.0,0.11,0.67,25.0,0.15,1.1
1032,1830.0,0.11,0.67,25.0,1.0,4.9
1033,1830.0,0.11,0.67,25.0,20.0,14.0
1034,1830.0,0.11,0.67,25.0,5.0,10.2
1035,1830.0,0.11,0.67,25.0,10.0,12.0
1036,1830.0,0.11,0.67,25.0,15.0,12.5
1037,2163.0,0.19,0.74,25.0,0.15,1.1
1038,2163.0,0.19,0.74,25.0,1.0,4.7
1039,2163.0,0.19,0.74,25.0,20.0,16.8
1040,2163.0,0.19,0.74,25.0,5.0,11.0
1041,2163.0,0.19,0.74,25.0,10.0,14.0
1042,2163.0,0.19,0.74,25.0,15.0,15.5
1043,2610.0,0.41,0.74,25.0,0.15,0.9
1044,2610.0,0.41,0.74,25.0,1.0,4.0
1045,2610.0,0.41,0.74,25.0,20.0,19.7
1046,2610.0,0.41,0.74,25.0,5.0,11.0
1047,2610.0,0.41,0.74,25.0,10.0,15.1
1048,2610.0,0.41,0.74,25.0,15.0,17.5
1049,346.0,0.46,0.05,25.0,5.0,1.36
1050,390.0,0.55,0.05,25.0,5.0,2.02
1051,451.0,0.61,0.06,25.0,5.0,2.25
1052,625.0,0.43,0.14,25.0,5.0,2.79
1053,1327.0,0.26,0.35,25.0,5.0,5.46
1054,55.0,0.16,0.0,25.0,5.0,0.32
